Titel,Gruppe[Nr],Gruppe[Titel],Gruppe[Oprettet],Gruppe[Rettet],Gruppe[Emner],Gruppe[Filtre],Fritekst
Gruppe_00.13,00.13,"Kommunikations- og informationsvirksomhed",1990-01-01,2004-02-01,"Emne_00.13.00,Emne_00.13.02,Emne_00.13.04,Emne_00.13.06,Emne_00.13.08,Emne_00.13.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.14,00.14,"Borgerbetjening",1990-01-01,2013-08-01,"Emne_00.14.00,Emne_00.14.10,Emne_00.14.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.15,00.15,"Administrativ organisering",1990-01-01,,"Emne_00.15.00,Emne_00.15.01,Emne_00.15.02,Emne_00.15.05,Emne_00.15.10,Emne_00.15.12,Emne_00.15.15","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.16,00.16,"Forsøgs- og udviklingsarbejde",1990-01-01,,"Emne_00.16.00,Emne_00.16.01,Emne_00.16.02,Emne_00.16.05","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.17,00.17,"Kommunalt/tværsektorielt samarbejde",1992-01-01,,"Emne_00.17.00,Emne_00.17.05,Emne_00.17.10,Emne_00.17.15,Emne_00.17.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.18,00.18,"Opgave- og strukturændringer i kommuner, overordnede aktiviteter",2004-02-01,2005-02-01,"Emne_00.18.00,Emne_00.18.02,Emne_00.18.04","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.20,00.20,"Kommunens/institutionens historie, våben mv.",1992-01-01,2003-08-01,"Emne_00.20.00,Emne_00.20.05","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.22,00.22,"Kommunalbestyrelsen, udvalg mv. - kommuners styrelse",2008-02-01,,"Emne_00.22.00,Emne_00.22.02,Emne_00.22.04,Emne_00.22.10,Emne_00.22.14","",[[Category:NaN_KLE_Data]]
Gruppe_00.24,00.24,"Kommunale sammenslutninger, foreninger mv.",2008-02-01,,"Emne_00.24.00","",[[Category:NaN_KLE_Data]]
Gruppe_00.30,00.30,"Budget - kommunens økonomiske forvaltning",2005-08-01,2011-05-01,"Emne_00.30.00,Emne_00.30.02,Emne_00.30.04,Emne_00.30.06,Emne_00.30.08,Emne_00.30.10,Emne_00.30.12,Emne_00.30.14,Emne_00.30.18","FolkeskolenDelplan,DagtilbudDelplan,SaerligStoetteDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.32,00.32,"Regnskab - kommunens økonomiske forvaltning",2005-08-01,2011-05-01,"Emne_00.32.00,Emne_00.32.02,Emne_00.32.04,Emne_00.32.05,Emne_00.32.06,Emne_00.32.10,Emne_00.32.12,Emne_00.32.13,Emne_00.32.14,Emne_00.32.16,Emne_00.32.18,Emne_00.32.22,Emne_00.32.24,Emne_00.32.28","",[[Category:NaN_KLE_Data]]
Gruppe_00.34,00.34,"Lån og låneoptagelse - kommunens økonomiske forvaltning",2005-08-01,2011-05-01,"Emne_00.34.00,Emne_00.34.05","",[[Category:NaN_KLE_Data]]
Gruppe_00.36,00.36,"Pantebreve, obligationer og aktier",2006-02-01,,"Emne_00.36.00","",[[Category:NaN_KLE_Data]]
Gruppe_01.00,01.00,"Fysisk planlægning og naturbeskyttelse",1988-01-01,2007-08-01,"Emne_01.00.00,Emne_01.00.05,Emne_01.00.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.01,01.01,"Landsplandirektiver mv. og regional udviklingsplanlægning",1988-01-01,2008-02-01,"Emne_01.01.00,Emne_01.01.01,Emne_01.01.02,Emne_01.01.03,Emne_01.01.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.02,01.02,"Kommuneplanlægning og lokalplanlægning",1988-01-01,2005-02-01,"Emne_01.02.00,Emne_01.02.01,Emne_01.02.02,Emne_01.02.03,Emne_01.02.04,Emne_01.02.05,Emne_01.02.07,Emne_01.02.08,Emne_01.02.09,Emne_01.02.10,Emne_01.02.12,Emne_01.02.15,Emne_01.02.16,Emne_01.02.17,Emne_01.02.20,Emne_01.02.25,Emne_01.02.27,Emne_01.02.32,Emne_01.02.36,Emne_01.02.40","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.03,01.03,"Zoneinddeling og landzoneadministration",1988-01-01,2014-02-01,"Emne_01.03.00,Emne_01.03.01,Emne_01.03.02,Emne_01.03.03,Emne_01.03.04,Emne_01.03.05,Emne_01.03.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.04,01.04,"Udstykningsforhold og andre matrikulære forhold",1988-01-01,,"Emne_01.04.00,Emne_01.04.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.05,01.05,"Naturbeskyttelse",1988-01-01,2005-02-01,"Emne_01.05.00,Emne_01.05.02,Emne_01.05.03,Emne_01.05.04,Emne_01.05.05,Emne_01.05.06,Emne_01.05.07,Emne_01.05.08,Emne_01.05.09,Emne_01.05.10,Emne_01.05.11,Emne_01.05.12,Emne_01.05.13,Emne_01.05.15,Emne_01.05.16,Emne_01.05.18,Emne_01.05.20,Emne_01.05.25","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.06,01.06,"Geografiske informationssystemer",1988-01-01,,"Emne_01.06.00,Emne_01.06.01,Emne_01.06.05,Emne_01.06.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.07,01.07,"Sommerhusområder",1988-01-01,2005-02-01,"Emne_01.07.00,Emne_01.07.02,Emne_01.07.03,Emne_01.07.04,Emne_01.07.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.09,01.09,"Råstofindvinding ",1988-01-01,2005-02-01,"Emne_01.09.00,Emne_01.09.05,Emne_01.09.10","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.10,01.10,"Bygningsfredning og bygningsbevaring",1988-01-01,2012-08-01,"Emne_01.10.00","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.11,01.11,"Byfornyelse og udvikling af byer",1988-01-01,2004-02-01,"Emne_01.11.00,Emne_01.11.01,Emne_01.11.02,Emne_01.11.03,Emne_01.11.04,Emne_01.11.05,Emne_01.11.08,Emne_01.11.09,Emne_01.11.10,Emne_01.11.11,Emne_01.11.15,Emne_01.11.20,Emne_01.11.22,Emne_01.11.24,Emne_01.11.25,Emne_01.11.26,Emne_01.11.27,Emne_01.11.28,Emne_01.11.29,Emne_01.11.30,Emne_01.11.32,Emne_01.11.34,Emne_01.11.35,Emne_01.11.36,Emne_01.11.38,Emne_01.11.40","",[[Category:NaN_KLE_Data]]
Gruppe_01.12,01.12,"Kolonihaveområder",2002-01-01,,"Emne_01.12.00","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.13,01.13,"Drift af landbrugsjorde",2003-08-01,2012-08-01,"Emne_01.13.00,Emne_01.13.02,Emne_01.13.04,Emne_01.13.06,Emne_01.13.08,Emne_01.13.10,Emne_01.13.12,Emne_01.13.14,Emne_01.13.16,Emne_01.13.18,Emne_01.13.20,Emne_01.13.23,Emne_01.13.25,Emne_01.13.27,Emne_01.13.29,Emne_01.13.40","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_01.15,01.15,"Jordfordeling",2008-11-01,,"Emne_01.15.00,Emne_01.15.05,Emne_01.15.10,Emne_01.15.12,Emne_01.15.15","",[[Category:NaN_KLE_Data]]
Gruppe_01.16,01.16,"Vurdering af Virkninger på Miljøet (VVM)",2003-08-01,,"Emne_01.16.00,Emne_01.16.02,Emne_01.16.04,Emne_01.16.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.00,02.00,"Byggeri",1988-01-01,2011-05-01,"Emne_02.00.00,Emne_02.00.01,Emne_02.00.02,Emne_02.00.03,Emne_02.00.04,Emne_02.00.05,Emne_02.00.06,Emne_02.00.07,Emne_02.00.08,Emne_02.00.10,Emne_02.00.11,Emne_02.00.14,Emne_02.00.15,Emne_02.00.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.01,02.01,"Grundes udnyttelse til bebyggelse",1988-01-01,,"Emne_02.01.00,Emne_02.01.01,Emne_02.01.02,Emne_02.01.03,Emne_02.01.05,Emne_02.01.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.02,02.02,"Bebyggelsens højde- og afstandsforhold",1988-01-01,,"Emne_02.02.00,Emne_02.02.01,Emne_02.02.02,Emne_02.02.04","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.03,02.03,"Bygningers indretning",1988-01-01,2005-02-01,"Emne_02.03.00,Emne_02.03.15,Emne_02.03.16,Emne_02.03.17","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.04,02.04,"Konstruktive bestemmelser",1988-01-01,,"Emne_02.04.00,Emne_02.04.01,Emne_02.04.02,Emne_02.04.03","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.05,02.05,"Brandforhold",1988-01-01,,"Emne_02.05.00,Emne_02.05.01,Emne_02.05.02,Emne_02.05.03,Emne_02.05.04,Emne_02.05.05,Emne_02.05.06,Emne_02.05.07,Emne_02.05.08,Emne_02.05.09,Emne_02.05.10,Emne_02.05.11,Emne_02.05.12,Emne_02.05.13,Emne_02.05.14,Emne_02.05.15,Emne_02.05.16,Emne_02.05.17,Emne_02.05.18","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.06,02.06,"Isolering, lydforhold [udgået]",1988-01-01,,"Emne_02.06.00,Emne_02.06.01,Emne_02.06.02,Emne_02.06.03","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.07,02.07,"Ildsteder og skorstene [udgået]",1988-01-01,,"Emne_02.07.00,Emne_02.07.01,Emne_02.07.02,Emne_02.07.03","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.08,02.08,"Installationer m.m.",1988-01-01,,"Emne_02.08.00,Emne_02.08.21,Emne_02.08.22,Emne_02.08.23,Emne_02.08.24,Emne_02.08.25,Emne_02.08.26,Emne_02.08.27","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.09,02.09,"Sommerhuse, fritidsboliger og havehuse [udgået]",1988-01-01,,"Emne_02.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_02.10,02.10,"Ventilation [udgået]",1988-01-01,,"Emne_02.10.00,Emne_02.10.01,Emne_02.10.02,Emne_02.10.03","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.25,02.25,"Brandværnsforanstaltninger for skorstene og ildsteder",1994-01-01,,"Emne_02.25.00,Emne_02.25.01,Emne_02.25.05,Emne_02.25.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.30,02.30,"Byggetilladelse og anmeldelse om byggearbejde (BR, Bygningsreglementet) [udgået]",2006-02-01,,"Emne_02.30.00,Emne_02.30.02,Emne_02.30.04,Emne_02.30.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.32,02.32,"Byggetilladelse efter småhusreglementet (BR-S) [udgået]",2006-02-01,,"Emne_02.32.00,Emne_02.32.02,Emne_02.32.04","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_02.34,02.34,"Byggetilladelse og anmeldelse om byggearbejde (BR10)",2008-02-01,2010-11-01,"Emne_02.34.00,Emne_02.34.02,Emne_02.34.04","",[[Category:NaN_KLE_Data]]
Gruppe_03.00,03.00,"Boliger",1988-01-01,2011-05-01,"Emne_03.00.00,Emne_03.00.01,Emne_03.00.05,Emne_03.00.07,Emne_03.00.10,Emne_03.00.12,Emne_03.00.20","",[[Category:NaN_KLE_Data]]
Gruppe_03.01,03.01,"Benyttelse af boliger",1988-01-01,,"Emne_03.01.00,Emne_03.01.01,Emne_03.01.02,Emne_03.01.03,Emne_03.01.04,Emne_03.01.05,Emne_03.01.10","",[[Category:NaN_KLE_Data]]
Gruppe_03.02,03.02,"Almene boliger, nybyggeri og renovering",1988-01-01,,"Emne_03.02.00,Emne_03.02.01,Emne_03.02.02,Emne_03.02.03,Emne_03.02.04,Emne_03.02.06,Emne_03.02.10,Emne_03.02.11,Emne_03.02.12,Emne_03.02.13,Emne_03.02.14,Emne_03.02.15,Emne_03.02.20","",[[Category:NaN_KLE_Data]]
Gruppe_03.03,03.03,"Private andelsboliger",1989-01-01,,"Emne_03.03.00,Emne_03.03.01,Emne_03.03.02,Emne_03.03.03,Emne_03.03.05,Emne_03.03.10,Emne_03.03.15,Emne_03.03.17,Emne_03.03.19","",[[Category:NaN_KLE_Data]]
Gruppe_03.04,03.04,"Sanering [udgået]",1989-01-01,,"Emne_03.04.00,Emne_03.04.01,Emne_03.04.02","",[[Category:NaN_KLE_Data]]
Gruppe_03.05,03.05,"Bygningsforbedring og energibesparelser med offentlig støtte - Bygningsforbedring med offentlig støtte [udgået]",1988-01-01,,"Emne_03.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.06,03.06,"Ejerlejligheder/boligfællesskaber - Udstykning i ejerlejligheder, herunder tilbudspligt m.v. [udgået]",1988-01-01,,"Emne_03.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.07,03.07,"Andre boliger for ældre og personer med handicap [udgået]",1989-01-01,,"Emne_03.07.00,Emne_03.07.01,Emne_03.07.02","",[[Category:NaN_KLE_Data]]
Gruppe_03.08,03.08,"Drift, tilsyn og støtte til selvejende ungdomsboliger",1994-01-01,,"Emne_03.08.00,Emne_03.08.01,Emne_03.08.02,Emne_03.08.03,Emne_03.08.04,Emne_03.08.05,Emne_03.08.10","",[[Category:NaN_KLE_Data]]
Gruppe_03.09,03.09,"Lejeforhold mv. i private boliger",1999-01-01,2005-02-01,"Emne_03.09.00,Emne_03.09.01,Emne_03.09.02,Emne_03.09.03,Emne_03.09.04,Emne_03.09.05,Emne_03.09.06,Emne_03.09.07,Emne_03.09.08,Emne_03.09.09,Emne_03.09.10,Emne_03.09.12,Emne_03.09.13,Emne_03.09.15,Emne_03.09.18,Emne_03.09.20,Emne_03.09.22,Emne_03.09.24,Emne_03.09.26,Emne_03.09.28,Emne_03.09.30,Emne_03.09.32,Emne_03.09.34,Emne_03.09.36,Emne_03.09.38,Emne_03.09.40,Emne_03.09.42,Emne_03.09.44","",[[Category:NaN_KLE_Data]]
Gruppe_03.10,03.10,"Drift af og tilsyn med almene boliger (ikke-økonomisk)",1996-01-01,2010-02-01,"Emne_03.10.00,Emne_03.10.01,Emne_03.10.02,Emne_03.10.04,Emne_03.10.06,Emne_03.10.08,Emne_03.10.10,Emne_03.10.11,Emne_03.10.12,Emne_03.10.14,Emne_03.10.16,Emne_03.10.20,Emne_03.10.24","",[[Category:NaN_KLE_Data]]
Gruppe_03.11,03.11,"Økonomisk tilsyn med almene boliger",1999-01-01,2010-02-01,"Emne_03.11.00,Emne_03.11.01,Emne_03.11.02,Emne_03.11.03,Emne_03.11.04,Emne_03.11.05,Emne_03.11.06,Emne_03.11.07,Emne_03.11.08","",[[Category:NaN_KLE_Data]]
Gruppe_03.12,03.12,"Leje af almene boliger",1999-01-01,2005-02-01,"Emne_03.12.00,Emne_03.12.01,Emne_03.12.02,Emne_03.12.03,Emne_03.12.04,Emne_03.12.05,Emne_03.12.06,Emne_03.12.07,Emne_03.12.08,Emne_03.12.09,Emne_03.12.10,Emne_03.12.11,Emne_03.12.12,Emne_03.12.13,Emne_03.12.14,Emne_03.12.15,Emne_03.12.17,Emne_03.12.18,Emne_03.12.20","",[[Category:NaN_KLE_Data]]
Gruppe_03.14,03.14,"Støttede private ungdomsboliger",2005-08-01,,"Emne_03.14.00,Emne_03.14.02,Emne_03.14.04,Emne_03.14.06","",[[Category:NaN_KLE_Data]]
Gruppe_03.15,03.15,"Forbedringsarbejder mv. i helårsboliger og fritidsboliger [udgået]",1992-01-01,,"Emne_03.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.16,03.16,"Energibesparende foranstaltninger i pensionisters boliger",1994-01-01,,"Emne_03.16.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.17,03.17,"Statstilskud til omstilling af ældre boliger til kraftvarme",1995-01-01,,"Emne_03.17.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.18,03.18,"Statstilskud til omstilling af elopvarmede bygninger",1997-01-01,,"Emne_03.18.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.20,03.20,"Fremme af privat udlejningsbyggeri [udgået]",2006-08-01,,"Emne_03.20.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.22,03.22,"Friplejeboliger",2007-08-01,,"Emne_03.22.00","",[[Category:NaN_KLE_Data]]
Gruppe_03.25,03.25,"Boligplacering af flygtninge",1999-01-01,,"Emne_03.25.00,Emne_03.25.01,Emne_03.25.03,Emne_03.25.04,Emne_03.25.05,Emne_03.25.07,Emne_03.25.08,Emne_03.25.09,Emne_03.25.12,Emne_03.25.15,Emne_03.25.18,Emne_03.25.25","",[[Category:NaN_KLE_Data]]
Gruppe_03.30,03.30,"Landsbyggefondens årlige ramme til boligsocial indsats",2007-11-01,,"Emne_03.30.00,Emne_03.30.05,Emne_03.30.10","",[[Category:NaN_KLE_Data]]
Gruppe_04.00,04.00,"Parker, fritids-/idrætsanlæg og landskabspleje",1988-01-01,2003-08-01,"Emne_04.00.00","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.01,04.01,"Parker, anlæg og grønne områder",1988-01-01,,"Emne_04.01.00,Emne_04.01.09,Emne_04.01.10,Emne_04.01.11,Emne_04.01.14,Emne_04.01.15,Emne_04.01.16,Emne_04.01.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.02,04.02,"Botaniske haver [udgået]",1988-01-01,,"Emne_04.02.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.03,04.03,"Offentlige legepladser",1988-01-01,,"Emne_04.03.00","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.04,04.04,"Haller/indendørsanlæg",1988-01-01,,"Emne_04.04.00","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.05,04.05,"Hundetoiletter",1989-01-01,,"Emne_04.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.06,04.06,"Skøjtebaner [udgået]",1988-01-01,,"Emne_04.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.07,04.07,"Svømmeanlæg [udgået]",1988-01-01,,"Emne_04.07.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.08,04.08,"Udendørsanlæg",1988-01-01,,"Emne_04.08.00,Emne_04.08.09,Emne_04.08.10,Emne_04.08.11,Emne_04.08.12,Emne_04.08.14,Emne_04.08.20","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.09,04.09,"Private skove [udgået]",1988-01-01,,"Emne_04.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.10,04.10,"Kommunale skove",1988-01-01,2007-11-01,"Emne_04.10.00,Emne_04.10.01,Emne_04.10.02,Emne_04.10.03,Emne_04.10.10,Emne_04.10.20","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.11,04.11,"Kommunale strande",1988-01-01,2007-11-01,"Emne_04.11.00,Emne_04.11.01,Emne_04.11.02,Emne_04.11.03,Emne_04.11.04,Emne_04.11.09,Emne_04.11.10,Emne_04.11.16,Emne_04.11.20,Emne_04.11.25","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.12,04.12,"Vandrerhjem",1988-01-01,,"Emne_04.12.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.13,04.13,"Det åbne land [udgået]",1988-01-01,,"Emne_04.13.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.14,04.14,"Campingpladser og lejrpladser",1988-01-01,2012-08-01,"Emne_04.14.00,Emne_04.14.09,Emne_04.14.10,Emne_04.14.11,Emne_04.14.15,Emne_04.14.18,Emne_04.14.20,Emne_04.14.22","",[[Category:NaN_KLE_Data]]
Gruppe_04.15,04.15,"Planteskole/gartneri [udgået]",1988-01-01,,"Emne_04.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.16,04.16,"Plantesygdomme",1989-01-01,,"Emne_04.16.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.18,04.18,"Kystbeskyttelse",2006-08-01,,"Emne_04.18.00,Emne_04.18.06,Emne_04.18.10","",[[Category:NaN_KLE_Data]]
Gruppe_04.20,04.20,"Læplantninger",1988-01-01,,"Emne_04.20.00","",[[Category:NaN_KLE_Data]]
Gruppe_04.21,04.21,"Udvikling af landdistrikterne",1990-01-01,2005-02-01,"Emne_04.21.00,Emne_04.21.01,Emne_04.21.05,Emne_04.21.10","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_04.30,04.30,"Kommunale begravelser",2000-01-01,,"Emne_04.30.00,Emne_04.30.01,Emne_04.30.02,Emne_04.30.05,Emne_04.30.10","",[[Category:NaN_KLE_Data]]
Gruppe_04.31,04.31,"Kommunale kirkegårde",2000-01-01,,"Emne_04.31.00,Emne_04.31.01,Emne_04.31.09,Emne_04.31.10,Emne_04.31.11,Emne_04.31.15,Emne_04.31.20","",[[Category:NaN_KLE_Data]]
Gruppe_05.00,05.00,"Veje og trafik",1988-01-01,,"Emne_05.00.00,Emne_05.00.05","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.01,05.01,"Offentlige veje",1988-01-01,2015-05-01,"Emne_05.01.00,Emne_05.01.01,Emne_05.01.02,Emne_05.01.07,Emne_05.01.08,Emne_05.01.09,Emne_05.01.10,Emne_05.01.11,Emne_05.01.12,Emne_05.01.13,Emne_05.01.14,Emne_05.01.15,Emne_05.01.16,Emne_05.01.17,Emne_05.01.18,Emne_05.01.19,Emne_05.01.20,Emne_05.01.21,Emne_05.01.22,Emne_05.01.25,Emne_05.01.30,Emne_05.01.35,Emne_05.01.40,Emne_05.01.45","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.02,05.02,"Private fællesveje/stier",1988-01-01,,"Emne_05.02.00,Emne_05.02.01,Emne_05.02.02,Emne_05.02.03,Emne_05.02.04,Emne_05.02.05,Emne_05.02.10,Emne_05.02.12,Emne_05.02.13,Emne_05.02.15,Emne_05.02.16,Emne_05.02.20","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
