Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Kommunestyrelsesloven_A20140018629_P4","Kommunestyrelsesloven","§ 4","A20140018629_P4",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P17","Kommunestyrelsesloven","§ 17, Stk.1","A20140018629_P17",[[Category:NaN_KLE_Data]]
"LBK om fremgangsmåden ved ekspropriation vedrørende fast ejendom_A20080116129_P5-6","LBK om fremgangsmåden ved ekspropriation vedrørende fast ejendom","§ 5-6","A20080116129_P5-6",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829","Retsplejeloven","","A20140130829",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P5-16","Kommunestyrelsesloven","§ 5-16","A20140018629_P5-16",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P30-34","Kommunestyrelsesloven","§ 30-34","A20140018629_P30-34",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P66-66d","Kommunestyrelsesloven","§ 66-66d","A20140018629_P66-66d",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P17-29","Kommunestyrelsesloven","§ 17-29","A20140018629_P17-29",[[Category:NaN_KLE_Data]]
"BEK om forretningsorden for børn og unge-udvalgene_B20120111605_P1","BEK om forretningsorden for børn og unge-udvalgene","§ 1","B20120111605_P1",[[Category:NaN_KLE_Data]]
"Lov om en satsreguleringsprocent_A20030037330","Lov om en satsreguleringsprocent","","A20030037330",[[Category:NaN_KLE_Data]]
"Lov om nedsættelse af statstilskuddet til kommuner ved forhøjelser af kommunale parkeringsindtægter_A20110059230_P5-7","Lov om nedsættelse af statstilskuddet til kommuner ved forhøjelser af kommunale parkeringsindtægter","§ 5-7","A20110059230_P5-7",[[Category:NaN_KLE_Data]]
"BEK om beregning af satsreguleringsprocenten m.v._B20140094105","BEK om beregning af satsreguleringsprocenten m.v.","","B20140094105",[[Category:NaN_KLE_Data]]
"BEK om regionernes budget- og regnskabsvæsen revision m.v._B20150018505_P2","BEK om regionernes budget- og regnskabsvæsen, revision m.v.","§ 2, Stk.2-3","B20150018505_P2",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P37-39","Kommunestyrelsesloven","§ 37-39","A20140018629_P37-39",[[Category:NaN_KLE_Data]]
"Folkeskoleloven_A20140066529_P40","Folkeskoleloven","§ 40, Stk.2","A20140066529_P40",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P37-39","Kommunestyrelsesloven","§ 37-39","A20140018629_P37-39",[[Category:NaN_KLE_Data]]
"Ungdomsskoleloven_A20140037529_P5","Ungdomsskoleloven","§ 5","A20140037529_P5",[[Category:NaN_KLE_Data]]
"Folkeskoleloven_A20140066529_P44","Folkeskoleloven","§ 44, Stk.3","A20140066529_P44",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P40","Kommunestyrelsesloven","§ 40, Stk.2","A20140018629_P40",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P42","Kommunestyrelsesloven","§ 42","A20140018629_P42",[[Category:NaN_KLE_Data]]
"BEK om regnskaber m.v. for Udbetaling Danmark_B20130056605","BEK om regnskaber m.v. for Udbetaling Danmark","","B20130056605",[[Category:NaN_KLE_Data]]
"Lov om midlertidig binding af kommunernes og amtskommunernes overskudslikviditet_A20050054930","Lov om midlertidig binding af kommunernes og amtskommunernes overskudslikviditet","","A20050054930",[[Category:NaN_KLE_Data]]
"BEK om kommunernes mellemværender med de kommunale forsyningsvirksomheder_B20120081805","BEK om kommunernes mellemværender med de kommunale forsyningsvirksomheder","","B20120081805",[[Category:NaN_KLE_Data]]
"Momsloven_A20130010629","Momsloven","","A20130010629",[[Category:NaN_KLE_Data]]
"Budget- og regnskabsbekendtgørelse_B20150001505","Budget- og regnskabsbekendtgørelse","","B20150001505",[[Category:NaN_KLE_Data]]
"Lov om nedsættelse af statstilskuddet til kommuner ved forhøjelser af kommunale parkeringsindtægter_A20110059230_P3-4","Lov om nedsættelse af statstilskuddet til kommuner ved forhøjelser af kommunale parkeringsindtægter","§ 3-4","A20110059230_P3-4",[[Category:NaN_KLE_Data]]
"LBK om kommunal udligning og generelle tilskud til kommuner_A20130079829","LBK om kommunal udligning og generelle tilskud til kommuner","","A20130079829",[[Category:NaN_KLE_Data]]
"Lov om ændringer af landets inddeling i kommuner og regioner og om opløsning og udpegelse af forpligtende kommunale samarbejder_A20060038230","Lov om ændringer af landets inddeling i kommuner og regioner og om opløsning og udpegelse af forpligtende kommunale samarbejder","","A20060038230",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P2-4","Planloven","§ 2-4","A20130058729_P2-4",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P10a-10b","Planloven","§ 10a-10b","A20130058729_P10a-10b",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729","Planloven","","A20130058729",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P11-12","Planloven","§ 11-12","A20130058729_P11-12",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P23a-23f","Planloven","§ 23a-23f","A20130058729_P23a-23f",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P13-21","Planloven","§ 13-21","A20130058729_P13-21",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P24-33","Planloven","§ 24-33","A20130058729_P24-33",[[Category:NaN_KLE_Data]]
"LBK om bygningsfredning og bevaring af bygninger og bymiljøer_A20140097029_P18","LBK om bygningsfredning og bevaring af bygninger og bymiljøer","§ 18","A20140097029_P18",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P12","Planloven","§ 12","A20130058729_P12",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P14","Planloven","§ 14","A20130058729_P14",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P13","Planloven","§ 13","A20130058729_P13",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P11g","Planloven","§ 11g","A20130058729_P11g",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P21b","Planloven","§ 21b","A20130058729_P21b",[[Category:NaN_KLE_Data]]
"Vejledning om planlægning for og landzonetilladelse til opstilling af vindmøller_C20090929660 ","Vejledning om planlægning for og landzonetilladelse til opstilling af vindmøller","","C20090929660 ",[[Category:NaN_KLE_Data]]
"LBK om fremme af vedvarende energi_A20150012229_P18-20","LBK om fremme af vedvarende energi","§ 18-20","A20150012229_P18-20",[[Category:NaN_KLE_Data]]
"BEK om administration af tilskud til grøn ordning_B20090040005","BEK om administration af tilskud til grøn ordning","","B20090040005",[[Category:NaN_KLE_Data]]
"BEK om planlægning for og tilladelse til opstilling af vindmøller_B20140159005","BEK om planlægning for og tilladelse til opstilling af vindmøller","","B20140159005",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P33a","Planloven","§ 33a","A20130058729_P33a",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P42-43","Planloven","§ 42-43","A20130058729_P42-43",[[Category:NaN_KLE_Data]]
"Tinglysningsloven_A20140107529_P10","Tinglysningsloven","§ 10","A20140107529_P10",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P45","Lov om offentlige veje m.v.","§ 45","A20140152030_P45",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P47-49","Lov om offentlige veje m.v.","§ 47-49","A20140152030_P47-49",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P47","Planloven","§ 47","A20130058729_P47",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P47a-49","Planloven","§ 47a-49","A20130058729_P47a-49",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P51-56","Lov om offentlige veje m.v.","§ 51-56","A20140152030_P51-56",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P46","Planloven","§ 46","A20130058729_P46",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P50","Planloven","§ 50","A20130058729_P50",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P47-49","Planloven","§ 47-49","A20130058729_P47-49",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P34-38","Planloven","§ 34-38","A20130058729_P34-38",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P45-46","Planloven","§ 45-46","A20130058729_P45-46",[[Category:NaN_KLE_Data]]
"Vejledning om planlægning for og landzonetilladelse til opstilling af vindmøller_C20090929660 ","Vejledning om planlægning for og landzonetilladelse til opstilling af vindmøller","","C20090929660 ",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P35-36","Planloven","§ 35-36","A20130058729_P35-36",[[Category:NaN_KLE_Data]]
"BEK om planlægning for og tilladelse til opstilling af vindmøller_B20140159005","BEK om planlægning for og tilladelse til opstilling af vindmøller","","B20140159005",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P37-38","Planloven","§ 37-38","A20130058729_P37-38",[[Category:NaN_KLE_Data]]
"Udstykningsloven_A20130121329","Udstykningsloven","","A20130121329",[[Category:NaN_KLE_Data]]
"BEK om matrikulære arbejder_B20130167605","BEK om matrikulære arbejder","","B20130167605",[[Category:NaN_KLE_Data]]
"BEK om udstykningskontrollen_B20100108905","BEK om udstykningskontrollen","","B20100108905",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P60-61","Lov om offentlige veje m.v.","§ 60-61","A20140152030_P60-61",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P1-2","Naturbeskyttelsesloven","§ 1-2","A20130095129_P1-2",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P65","Naturbeskyttelsesloven","§ 65, Stk.3","A20130095129_P65",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P15-19","Naturbeskyttelsesloven","§ 15-19","A20130095129_P15-19",[[Category:NaN_KLE_Data]]
"BEK om bygge- og beskyttelseslinjer_B20110130805","BEK om bygge- og beskyttelseslinjer","","B20110130805",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P65","Naturbeskyttelsesloven","§ 65, Stk.3","A20130095129_P65",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P3-11","Naturbeskyttelsesloven","§ 3-11","A20130095129_P3-11",[[Category:NaN_KLE_Data]]
"BEK om beskyttede naturtyper_B20060117205","BEK om beskyttede naturtyper","","B20060117205",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P30-32","Naturbeskyttelsesloven","§ 30-32","A20130095129_P30-32",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P33-51","Naturbeskyttelsesloven","§ 33-51","A20130095129_P33-51",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P52-54","Naturbeskyttelsesloven","§ 52-54","A20130095129_P52-54",[[Category:NaN_KLE_Data]]
"BEK om pleje af fredede arealer og tilsyn_B20130080205","BEK om pleje af fredede arealer og tilsyn","","B20130080205",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P55-59","Naturbeskyttelsesloven","§ 55-59","A20130095129_P55-59",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P60a-61","Naturbeskyttelsesloven","§ 60a-61","A20130095129_P60a-61",[[Category:NaN_KLE_Data]]
"BEK om offentlighedens inddragelse ved store naturforvaltningsprojekter_B20060134905","BEK om offentlighedens inddragelse ved store naturforvaltningsprojekter","","B20060134905",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P62-64","Naturbeskyttelsesloven","§ 62-64","A20130095129_P62-64",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P22-29","Naturbeskyttelsesloven","§ 22-29","A20130095129_P22-29",[[Category:NaN_KLE_Data]]
"BEK om ikke-erhvervsmæssig sejlads og anden færdsel på Gudenåen med sidevandløb og søer fra Tørring til Randers_B20130041605","BEK om ikke-erhvervsmæssig sejlads og anden færdsel på Gudenåen med sidevandløb og søer fra Tørring til Randers","","B20130041605",[[Category:NaN_KLE_Data]]
"BEK om ikke-erhvervsmæssig sejlads på Karup Å med sidevandløb og søer_B20130041705","BEK om ikke-erhvervsmæssig sejlads på Karup Å med sidevandløb og søer","","B20130041705",[[Category:NaN_KLE_Data]]
"BEK om ikke-erhvervsmæssig sejlads på Susåen med sidevandløb og på Tystrup-Bavelse Søerne_B20090041405","BEK om ikke-erhvervsmæssig sejlads på Susåen med sidevandløb og på Tystrup-Bavelse Søerne","","B20090041405",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P20-21","Naturbeskyttelsesloven","§ 20-21","A20130095129_P20-21",[[Category:NaN_KLE_Data]]
"BEK om opsætning af mindre oplysningsskilte skilte i erhvervsområder og reklamer på idrætsanlæg m.v. i det åbne land_B20060132805","BEK om opsætning af mindre oplysningsskilte, skilte i erhvervsområder og reklamer på idrætsanlæg m.v. i det åbne land","","B20060132805",[[Category:NaN_KLE_Data]]
"Miljømålsloven_A20090093229","Miljømålsloven","","A20090093229",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P60","Naturbeskyttelsesloven","§ 60, Stk.3","A20130095129_P60",[[Category:NaN_KLE_Data]]
"Naturbeskyttelsesloven_A20130095129_P19a-19h","Naturbeskyttelsesloven","§ 19a-19h","A20130095129_P19a-19h",[[Category:NaN_KLE_Data]]
"Skovloven_A20130067829_P14","Skovloven","§ 14","A20130067829_P14",[[Category:NaN_KLE_Data]]
"Skovloven_A20130067829_P17","Skovloven","§ 17, Stk.1","A20130067829_P17",[[Category:NaN_KLE_Data]]
"BEK om anmeldelsesordningen efter naturbeskyttelseslovens § 19 b og skovlovens § 17_B20120075505","BEK om anmeldelsesordningen efter naturbeskyttelseslovens § 19 b og skovlovens § 17","","B20120075505",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af visse vejanlæg mv._B20110050805","BEK om godkendelse af visse vejanlæg mv.","","B20110050805",[[Category:NaN_KLE_Data]]
"BEK om kommunalbestyrelsernes Natura 2000-handleplaner_B20140160305","BEK om kommunalbestyrelsernes Natura 2000-handleplaner","","B20140160305",[[Category:NaN_KLE_Data]]
"BEK om udpegning og administration af internationale naturbeskyttelsesområder samt beskyttelse af visse arter_B20070040805","BEK om udpegning og administration af internationale naturbeskyttelsesområder samt beskyttelse af visse arter","","B20070040805",[[Category:NaN_KLE_Data]]
"Bekendtgørelse af museumsloven_A20140035829_P29a-x","Bekendtgørelse af museumsloven","§ 29a-x","A20140035829_P29a-x",[[Category:NaN_KLE_Data]]
"BEK om pleje af fortidsminder_B20060151405","BEK om pleje af fortidsminder","","B20060151405",[[Category:NaN_KLE_Data]]
"BEK om pleje af fredede arealer og tilsyn_B20130080205","BEK om pleje af fredede arealer og tilsyn","","B20130080205",[[Category:NaN_KLE_Data]]
"Digebekendtgørelsen_B20130119005","Digebekendtgørelsen","","B20130119005",[[Category:NaN_KLE_Data]]
"LBK om Geodatastyrelsen_A20130121029_P5a","LBK om Geodatastyrelsen","§ 5a","A20130121029_P5a",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P38a-39","Planloven","§ 38a-39","A20130058729_P38a-39",[[Category:NaN_KLE_Data]]
"Sommerhusloven_A20130094929_P11","Sommerhusloven","§ 11","A20130094929_P11",[[Category:NaN_KLE_Data]]
"Planloven_A20130058729_P40-41","Planloven","§ 40-41","A20130058729_P40-41",[[Category:NaN_KLE_Data]]
"Råstofloven_A20130065729_P42","Råstofloven","§ 42","A20130065729_P42",[[Category:NaN_KLE_Data]]
"Råstofloven_A20130065729_P7-11","Råstofloven","§ 7-11","A20130065729_P7-11",[[Category:NaN_KLE_Data]]
"Råstofloven_A20130065729_P10a","Råstofloven","§ 10a","A20130065729_P10a",[[Category:NaN_KLE_Data]]
"LBK om bygningsfredning og bevaring af bygninger og bymiljøer_A20140097029_P18","LBK om bygningsfredning og bevaring af bygninger og bymiljøer","§ 18","A20140097029_P18",[[Category:NaN_KLE_Data]]
"LBK om bygningsfredning og bevaring af bygninger og bymiljøer_A20140097029_P20","LBK om bygningsfredning og bevaring af bygninger og bymiljøer","§ 20","A20140097029_P20",[[Category:NaN_KLE_Data]]
"LBK om bygningsfredning og bevaring af bygninger og bymiljøer_A20140097029_P19a","LBK om bygningsfredning og bevaring af bygninger og bymiljøer","§ 19a","A20140097029_P19a",[[Category:NaN_KLE_Data]]
"BEK om udpegning af bevaringsværdige bygninger i kommuneplanen_B20020083805","BEK om udpegning af bevaringsværdige bygninger i kommuneplanen","","B20020083805",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329","LBK om byfornyelse og udvikling af byer","","A20140086329",[[Category:NaN_KLE_Data]]
"BEK om statsrefusion af kommunale udgifter efter lov om byfornyelse og udvikling af byer_B20150027705","BEK om statsrefusion af kommunale udgifter efter lov om byfornyelse og udvikling af byer","","B20150027705",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap2","LBK om byfornyelse og udvikling af byer","Kap.2","A20140086329_Kap2",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P1-3","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 1-3","B20150016805_P1-3",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap3","LBK om byfornyelse og udvikling af byer","Kap.3","A20140086329_Kap3",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer_B20150018805","BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer","","B20150018805",[[Category:NaN_KLE_Data]]
"BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer_B20100064505","BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer","","B20100064505",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer_B20100048205","BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer","","B20100048205",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap3","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.3","B20150010205_Kap3",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_Kap4","LBK om byfornyelse og udvikling af byer","Kap.4","A20140086329_Kap4",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer_B20150018805","BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer","","B20150018805",[[Category:NaN_KLE_Data]]
"BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer_B20100064505","BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer","","B20100064505",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer_B20100048205","BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer","","B20100048205",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap3","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.3","B20150010205_Kap3",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P30-33","LBK om byfornyelse og udvikling af byer","§ 30-33","A20140086329_P30-33",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P36-38","LBK om byfornyelse og udvikling af byer","§ 36-38","A20140086329_P36-38",[[Category:NaN_KLE_Data]]
"BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer_B20150016805_P4-9","BEK om regnskab og revision efter lov om byfornyelse og udvikling af byer","§ 4-9","B20150016805_P4-9",[[Category:NaN_KLE_Data]]
"BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer_B20150018805","BEK om støtteberettigede udgifter til bygningsfornyelse og udbud af bygge- og anlægsarbejder efter lov om byfornyelse og udvikling af byer","","B20150018805",[[Category:NaN_KLE_Data]]
"BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer_B20100064505","BEK om tilbagebetaling af tilskud i henhold til lov om byfornyelse og udvikling af byer","","B20100064505",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer_B20100048205","BEK om udbetaling af støtte efter lov om byfornyelse og udvikling af byer","","B20100048205",[[Category:NaN_KLE_Data]]
"BEK om udgiftsrammer til byfornyelsesformål Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet_B20150010205_Kap3","BEK om udgiftsrammer til byfornyelsesformål, Pulje til Landsbyfornyelse og kommunernes brug af administrative edb-systemer på byfornyelsesområdet","Kap.3","B20150010205_Kap3",[[Category:NaN_KLE_Data]]
"LBK om byfornyelse og udvikling af byer_A20140086329_P38a-b","LBK om byfornyelse og udvikling af byer","§ 38a-b","A20140086329_P38a-b",[[Category:NaN_KLE_Data]]
