Title,Emne[Nr],Emne[Titel],Emne[Oprettet],Emne[Rettet],Emne[Bevaring],Emne[Sletning],Emne[Filtre],Emne[Retskilder],Emne[Vejledning],Free Text
Emne_00.05.02,00.05.02,"Kommunale skibsadoptioner",1988-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.03,00.05.03,"Festdage mærkedage og jubilæer",1988-01-01,,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.05.04,00.05.04,"Mærkedage (ej enkeltpersoner) udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.05,00.05.05,"Jubilæer udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.06,00.05.06,"Receptioner",1988-01-01,,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.05.07,00.05.07,"Hædersbevisninger priser og prisuddelinger",1988-01-01,,K,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.05.08,00.05.08,"Priser/prisuddeling udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.09,00.05.09,"Indsamlinger",1988-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.10,00.05.10,"Gaver til og fra kommunen/institutionen",1988-01-01,2003-02-01,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Nummeret anvendes is&#230;r til sager om gaver, som kommunen selv giver.</li>
								<li>Gaver, der modtages b&#248;r s&#229; vidt muligt journaliseres under det relevante emnenummer med facetten &#216;34.</li>
								<li>Findes der ikke et relevant emnenummer, anvendes 00.05.10.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.05.11,00.05.11,"Besøg til og fra kommunen/modtagelse af gæster",1988-01-01,2005-08-01,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Nummeret d&#230;kker sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>bes&#248;g til og fra kommunen, herunder modtagelse af g&#230;ster</li>
								<li>studieture som kommunen deltager i</li>
								<li>udgifter til medarbejdere mv. i forbindelse med bes&#248;g journaliseres under hovedgruppen 81</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.05.12,00.05.12,"Udstillinger på rådhuse mv.",1989-01-01,2006-02-01,K,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.05.15,00.05.15,"Indvielser rejsegilder",1994-01-01,,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.06.00,00.06.00,"Administration af fonde legater og stiftelser i almindelighed",1988-01-01,2004-02-01,B,P1800D,"FolkeskolenDelplan,DagtilbudDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.06.02,00.06.02,"Fundats",2004-02-01,,B,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Under dette nummer journaliseres de enkelte legaters fundats (vedt&#230;gt).</li>
								<li>&gt;Fundatsen journaliseres med facet P24, s&#229;fremt kommunen skal behandle/godkende dem.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.06.04,00.06.04,"Ansøgninger og udbetalinger af legater",2005-02-01,,B,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Her journaliseres konkrete ans&#248;gninger om legater og udbetalinger.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.00,00.07.00,"Forvaltningsprincipper i almindelighed",1988-01-01,,B,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329","",[[Category:NaN_KLE_Data]]
Emne_00.07.01,00.07.01,"Inhabilitet - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P3-6","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om inhabilitet.</li>
								<li>Sager om generel inhabilitet efter kommunestyrelsesloven journaliseres under emne 00.22.04.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.02,00.07.02,"Vejledning og partsrepræsentation - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P7-8","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Sager om vejledning som forvaltningsprincip, journaliseres her.</li>
								<li>Sager om &#229;ben anonym r&#229;dgivning efter serviceloven journaliseres under emne 27.12.04</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.03,00.07.03,"Partens aktindsigt - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Offentlighedsloven_A20130060630_P14,Offentlighedsloven_A20130060630_P37,Offentlighedsloven_A20130060630_P39,Offentlighedsloven_A20130060630_P7-12,Forvaltningsloven_A20140043329_P9-16,BEK om aktindsigt i visse interne kommunale og regionale dokumenter_B20130157505_P1-2","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">D&#230;kker bl.a. sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>organisering og procedurer ifm aktindsigtsbehandling</li>
								<li>principper for aktindsigt</li>
								<li>klager over afg&#248;relser om aktindsigt. Tilf&#248;jes K02.</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Se facet A53 vedr&#248;rende konkrete sager om aktindsigt (anmodninger og afg&#248;relser).</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.04,00.07.04,"Partshøring - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P19-21","",[[Category:NaN_KLE_Data]]
Emne_00.07.05,00.07.05,"Begrundelser i afgørelser - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P22-24","",[[Category:NaN_KLE_Data]]
Emne_00.07.06,00.07.06,"Klagevejledning - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P25-26","",[[Category:NaN_KLE_Data]]
Emne_00.07.07,00.07.07,"Tavshedspligt - forvaltningsprincipper",1988-01-01,2013-05-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P27","",[[Category:NaN_KLE_Data]]
Emne_00.07.08,00.07.08,"Videregivelse af oplysninger til anden forvaltningsmyndighed",1999-01-01,,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Forvaltningsloven_A20140043329_P28-32","",[[Category:NaN_KLE_Data]]
Emne_00.07.10,00.07.10,"Notatpligt mv.",1999-01-01,,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Offentlighedsloven_A20130060630_P13","",[[Category:NaN_KLE_Data]]
Emne_00.07.15,00.07.15,"God forvaltningsskik",1999-01-01,2005-02-01,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","Ombudsmandsloven_A20130034929","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Nummeret anvendes til sager om emnet ""god forvaltningsskik"". Herunder ogs&#229; sager vedr&#248;rende Ombudsmandens institution. Konkrete klager behandlet af Ombudsmanden kan journaliseres med relevant emne og facetten K03.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.20,00.07.20,"Videreanvendelse af den offentlige sektors informationer",2006-02-01,,B,P1800D,"KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan","PSI-loven_A20050059630","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet anvendes til sager om videreanvendelse af den offentlige sektors informationer, fx sager om</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>anmodninger om dokumenter og datasamlinger efter p&#229;g&#230;ldende lov</li>
								<li>betingelser for anvendelse</li>
								<li>aftaler om anvendelse</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.07.40,00.07.40,"Opbygning af borgerrådgiverfunktion",2007-08-01,2008-05-01,B,P1800D,"","Kommunestyrelsesloven_A20140018629_P65e","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om opbygning af kommunal borgerr&#229;dgiverfunktion, fx sager om etablering, principperne for borgerr&#229;dgiverens kompetence og funktion.</li>
								<li>Efter kommunestyrelsesloven &#167; 65 e kan kommunalbestyrelsen i styrelsesvedt&#230;gten tr&#230;ffe bestemmelse om oprettelse af en borgerr&#229;dgiverfunktion, der ikke henh&#248;rer under de st&#229;ende udvalgs eller &#248;konomiudvalgets umiddelbare forvaltning af kommunens anliggender.</li>
								<li>Konkrete sager borgerr&#229;dgiveren behandler journaliseres under relevante emne.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.08.00,00.08.00,"Civilt beredskab i almindelighed udgået",1988-01-01,,B,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.01,00.08.01,"Kommunens centralforvaltning udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.02,00.08.02,"Personregistrering udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.03,00.08.03,"De kommunale værker vand og kloakvæsen udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.04,00.08.04,"Renovation ifm. civilt beredskab udgået",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.08.05,00.08.05,"Levnedsmiddelkontrol ved civilt beredskab udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.06,00.08.06,"Socialvæsenet udgået",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.08.07,00.08.07,"Den primære sundhedstjeneste udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.08,00.08.08,"Vedligeholdelse af veje og havne udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.09,00.08.09,"Folkebespisning udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.10,00.08.10,"Formidling af arbejdskraft udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.11,00.08.11,"Administration af rationeringsordninger udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.12,00.08.12,"Opretholdelse af pengeforsyning udgået",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.08.13,00.08.13,"Ekstraordinære begravelsesforanstaltninger udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.14,00.08.14,"Sikring af kulturelle værdier udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.15,00.08.15,"Information til lokalsamfundet udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.08.20,00.08.20,"Designering udgået",1988-01-01,,B,P1800D,"KommunalVandDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.10.00,00.10.00,"Integration og udlændinge i almindelighed udgået",1988-01-01,2013-05-01,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r november 2014, da emnet er flyttet til emnenummer 15.40.00. Kontakt KLE-redaktionen, hvis dette giver anledning til problemer.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres bl.a. kommunens integrationspolitik med P22. P&#229; emnet journaliseres ogs&#229; sager, hvor kommunalbestyrelsen afgiver udtalelse til Udl&#230;ndingestyrelsen til brug for behandlingen af en sag, efter udl&#230;ndingelovens &#167; 9.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.01,00.10.01,"Sociale forhold udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.10.02,00.10.02,"Skatteforhold udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.10.03,00.10.03,"Arbejdsmarkedsforhold udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.10.04,00.10.04,"Undervisningsforhold udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.10.06,00.10.06,"Boligforhold udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.10.08,00.10.08,"Finansiering og administration af integrationsindsatsen udgået",1999-01-01,2013-05-01,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker de n&#230;rmere bestemmelser om finansiering og administration af integrationsloven, herunder om refusioner og d&#230;kning af udgifter i &#248;vrigt fra staten. Emnet d&#230;kker ogs&#229; sager om indberetning af statistiske oplysninger vedr&#248;rende kommunens integrationsindsats.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.09,00.10.09,"Almindelig integrationsindsats udgået",1999-01-01,,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r aug 2013, da &#167; 3 i integrationsloven er oph&#230;vet. Kontakt KLE-redaktionen hvis dette giver problemer. Nummeret d&#230;kker ethvert tiltag, der ikke er omfattet af integrationsloven kapitel 3 og 4, og som foretages af den offentlige forvaltning med det form&#229;l at integrere flygtninge og indvandrere i det danske samfund.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.10,00.10.10,"Integrationsråd opbygning af udgået",1999-01-01,2008-08-01,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker sager om opbygning og organisering af integrationsr&#229;det, imens de konkrete sager, r&#229;det behandler, journaliseres p&#229; relevant emne. Kommunalbestyrelsens udpegning af medlemmer journaliseres her med facet A30.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.12,00.10.12,"Inddragelse af andre aktører integration udgået",2008-05-01,,B,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r november 2014, da emnet er flyttet til emnenummer 15.40.05. Kontakt KLE-redaktionen, hvis dette giver anledning til problemer.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet er til sager efter integrationslovens &#167; 5, hvorefter en kommunalbestyrelse kan overlade udf&#248;relsen af bestemte opgaver som led i gennemf&#248;relse af introduktionsprogrammer til en eller flere organisationer eller foreninger m.v., herunder Dansk Flygtningehj&#230;lp, uddannelsesinstitutioner, private virksomheder og andre kommunalbestyrelser.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.15,00.10.15,"Integrationsprogrammer udgået",1999-01-01,2010-08-01,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r februar 2014 da integrationsprogrammer fremg&#229;r af de enkelte integrationskontrakter. Integrationsprogrammer vil derfor fremover findes under emnenr. 00.10.16 Integrationskontrakter. Kontakt KLE-redaktionen hvis dette giver problemer.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Oprindelig servicetekst: Kommunalbestyrelsen skal tilbyde et integrationsprogram, der skal p&#229;begyndes senest en m&#229;ned efter, at kommunalbestyrelsen har overtaget ansvaret for de p&#229;g&#230;ldende udl&#230;ndinge. Kurset omfatter:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>samfundsforst&#229;else</li>
								<li>danskundervisning</li>
								<li>aktivering</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">De konkrete forhold vedr&#248;rende de enkelte dele af integrationsprogrammet journaliseres under de p&#229;g&#230;ldende journalgrupper, nemlig 54.15 og 15.20. Under 00.10.15 journaliseres s&#229;ledes kun de helt overordnede forhold vedr&#248;rende programmets organisering mv.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.16,00.10.16,"Integrationskontrakter udgået",1999-01-01,2005-08-01,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r november 2014, da emnet er flyttet til emnenummer 15.40.10. Kontakt KLE-redaktionen, hvis dette giver anledning til problemer.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Kommunalbestyrelsen skal tilbyde flygtninge og familiesammenf&#248;rte udl&#230;ndinge et integrationsprogram, der skal p&#229;begyndes senest en m&#229;ned efter, at kommunalbestyrelsen har overtaget ansvaret for de p&#229;g&#230;ldende udl&#230;ndinge. Programmet omfatter:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>danskuddannelse</li>
								<li>kursus i danske samfundsforhold, kultur og historie</li>
								<li>aktivering</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Omfanget og indholdet af integrationsprogrammets enkelte elementer fastl&#230;gges i en integrationskontrakt, som indg&#229;s mellem udl&#230;ndingen og kommunalbestyrelsen. Kontrakten skal beskrive udl&#230;ndingens besk&#230;ftigelses- eller uddannelsesm&#229;l og fastl&#230;gge indholdet af de aktiviteter, der skal sikre, at de i kontrakten opstillede m&#229;l opfyldes.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">De konkrete forhold vedr&#248;rende danskuddannelse og kursus i danske samfundsforhold journaliseres under de p&#229;g&#230;ldende journalgrupper 54.15, 54.17 og 15.20.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.10.17,00.10.17,"Integrationsplaner udgået",2013-08-01,,B,P1800D,"JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r november 2014, da emnet er flyttet til emnenummer 15.40.15. Kontakt KLE-redaktionen, hvis dette giver anledning til problemer.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Kommunalbestyrelsen skal inden for tre m&#229;neder efter at have overtaget ansvaret for flygtninge og familiesammenf&#248;rte udl&#230;ndinge tilbyde en integrationsplan, som best&#229;r af to dele:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>En udredningsdel, som omfatter en vurdering af uddannelses- og besk&#230;ftigelsesm&#230;ssige foruds&#230;tninger samt en helbredsm&#230;ssig vurdering. En del af oplysningerne vil fremg&#229; af integrationskontrakten, se emnenr. 00.10.16 Integrationskontrakter.</li>
								<li>En indsatsdel, som angiver m&#229;l for den enkelte udl&#230;ndings integration og plan for, hvilke indsatser der skal sikre, at m&#229;lene n&#229;s, eksempelvis skoletilbud og behov for sundhedsbehandling eller social st&#248;tte.</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Kommunalbestyrelsen skal i hver enkelt sag fasts&#230;tte, hvilken forvaltning i kommunen der er ansvarlig for at koordinere integrationsplanen, og beslutningen herom skal fremg&#229; af planen.</p>
					
				",[[Category:NaN_KLE_Data]]
